  nnod     Lon    Lat      Cost    hm      dir   
   1411    2.900  39.225   0.000  1.46  82.18 
   1540    3.000  39.250   0.312  1.20 112.67 
   1418    3.075  39.225   0.559  2.00  78.31 
   1797    3.175  39.300   0.992  2.19  78.55 
   2176    3.275  39.375   1.433  2.64  75.24 
   2679    3.350  39.475   1.897  2.60  78.73 
   3182    3.425  39.575   2.377  2.85  77.84 
   3433    3.450  39.625   2.603  3.27  79.09 
   3936    3.525  39.725   3.154  4.16  59.08 
   4435    3.500  39.825   3.609  3.98  50.04 
   4934    3.475  39.925   4.075  4.27  44.47 
   5433    3.450  40.025   4.552  4.51  42.67 
   5932    3.425  40.125   5.055  4.94  48.37 
   6431    3.400  40.225   5.579  5.17  52.11 
   6930    3.375  40.325   6.127  5.41  54.00 
   7304    3.350  40.400   6.558  5.56  55.35 
   7678    3.325  40.475   7.005  5.77  56.45 
   8052    3.300  40.550   7.474  5.99  57.25 
   8426    3.275  40.625   7.966  6.23  58.37 
   8800    3.250  40.700   8.484  6.41  58.00 
   9174    3.225  40.775   9.025  6.58  58.12 
   9548    3.200  40.850   9.592  6.76  58.58 
   9922    3.175  40.925  10.184  6.90  59.54 
  10421    3.150  41.025  10.984  6.95  62.73 
  10795    3.125  41.100  11.560  6.74  64.79 
  11169    3.100  41.175  12.138  6.78  65.41 
  11543    3.075  41.250  12.709  6.71  67.24 
  11917    3.050  41.325  13.277  6.70  68.41 
  12166    3.025  41.375  13.667  6.68  69.72 
  12288    2.950  41.400  13.974  6.79  70.46 
  12410    2.875  41.425  14.282  6.88  71.55 
  12532    2.800  41.450  14.590  6.76  73.74 
  12781    2.775  41.500  14.974  6.45  77.31 
